Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
POLR2C		3	3	2865	0.1%	No
DENND2B		27	27	4153	0.7%	No
MAGEA3		11	11	3588	0.3%	No
POLR2D		3	3	2285	0.1%	No
DNAI2		11	11	3928	0.3%	No
PHF11		12	12	3421	0.4%	No
ASB3		2	2	1066	0.2%	No
KCTD3		38	38	4339	0.9%	No
RLIM		23	23	4111	0.6%	No
IRAK4		12	12	3588	0.3%	No
CEP83		15	15	3353	0.4%	No
POLB		18	18	3890	0.5%	No
SSTR5		7	7	3795	0.2%	No
POLD1		57	53	6403	0.8%	Yes
SSTR4		15	13	3288	0.4%	No
RNFT1		12	12	3081	0.4%	No
POLD2		8	8	3475	0.2%	No
POLE		124	113	7642	1.5%	Yes
SSX1		10	8	2865	0.3%	Yes
COPS4		5	5	3081	0.2%	No
POLE2		10	10	3774	0.3%	No
SSX4		6	6	3372	0.2%	Yes
POLG		36	36	3971	0.9%	No
SSX5		7	7	3475	0.2%	No
POLH		16	16	3795	0.4%	No
POLR2K		2	2	116	1.7%	No
STAR		6	6	1382	0.4%	No
MAGEA11		18	18	3810	0.5%	No
STAT2		20	20	3472	0.6%	Yes
POLR2L		2	2	1282	0.2%	No
MAGEA12		34	33	3895	0.8%	No
POLRMT		20	20	2865	0.7%	No
STAT1		17	17	3795	0.4%	Yes
MAGEB1		18	17	3588	0.5%	No
STAT4		45	42	3825	1.1%	Yes
POMC		1	1	186	0.5%	No
MAGEB2		9	9	3658	0.2%	No
PON1		16	16	3661	0.4%	No
STAT3		49	49	6878	0.7%	Yes
ZFP57		6	6	2385	0.3%	No
CHCHD2		9	9	3588	0.3%	No
INSIG2		15	15	3558	0.4%	No
HSD17B12		2	2	1282	0.2%	No
DYNC1LI1		14	8	3318	0.2%	No
A4GNT		3	3	1317	0.2%	No
MAGEA4		13	13	3081	0.4%	No
CERCAM		12	12	3734	0.3%	No
POLR2E		5	5	1342	0.4%	No
POLR2F		9	9	2555	0.4%	No
ING4		6	6	3588	0.2%	No
MAGEA6		4	4	2329	0.2%	No
POLR2G		1	1	982	0.1%	No
ST14		13	13	3609	0.4%	No
POLR2H		7	7	3658	0.2%	No
MRNIP		9	9	3437	0.3%	No
ST13		3	3	1282	0.2%	No
MAGEA8		34	32	5560	0.6%	No
POLR2J		12	12	2865	0.4%	No
STAC		21	21	3558	0.6%	No
PAGE5		11	11	3825	0.3%	No
MAGEA10		13	13	3825	0.3%	No
STAU1		24	24	3874	0.6%	No
HSPA13		16	14	3955	0.4%	No
POU2AF1		1	1	1066	<0.1%	Yes
POU2F1		20	18	4053	0.4%	No
STC1		6	6	3372	0.2%	No
MAN1A1		21	19	3795	0.5%	No
POU2F2		23	23	3795	0.6%	No
MAN2A2		28	24	4179	0.6%	No
SULT1E1		11	11	3372	0.3%	No
POU3F1		1	1	1066	<0.1%	No
MAN2C1		16	16	3051	0.5%	No
POU3F2		11	10	3712	0.3%	No
STIM1		13	13	3825	0.3%	No
MAN2A1		27	26	3772	0.7%	No
ELOVL4		9	9	3102	0.3%	No
POU3F3		1	1	1066	<0.1%	No
SLC45A2		21	21	3661	0.6%	No
SDF4		9	9	3372	0.3%	No
JPT1		6	6	3712	0.2%	No
MRTO4		5	5	3318	0.2%	No
ZNF580		4	4	1444	0.3%	No
SERPINA10		9	9	3535	0.3%	No
MAGEB3		21	21	4041	0.5%	No
STAT5B		43	43	6931	0.6%	Yes
PON2		4	4	2620	0.2%	No
MAGEB4		23	22	3688	0.6%	No
PON3		15	15	3925	0.4%	No
STAT5A		35	35	6502	0.5%	Yes
POR		13	13	3691	0.4%	No
STATH		5	5	2865	0.2%	No
MAK		14	14	3661	0.4%	No
STAT6		28	26	4011	0.6%	Yes
POU1F1		7	7	3081	0.2%	No
MAL		3	2	1066	0.2%	No
CXORF66		9	9	4011	0.2%	No
POU5F1		15	15	3128	0.5%	Yes
AURKA		34	34	6892	0.5%	Yes
STK10		41	36	3950	0.9%	No
MAP1A		112	91	4171	2.2%	No
MAP1B		42	33	4191	0.8%	No
POU5F1B		6	6	2865	0.2%	No
CDKL5		27	27	4114	0.7%	No
ZNF391		7	7	3795	0.2%	No
POU6F1		8	8	3609	0.2%	No
AURKC		11	10	3795	0.3%	No
MAP2		77	75	4204	1.8%	No
STK11		87	84	9566	0.9%	Yes
PPA1		18	18	3588	0.5%	No
MAP4		10	9	3254	0.3%	No
PPARA		14	13	3475	0.4%	No
CSMD1		159	144	4274	3.4%	No
MAP6		13	12	3318	0.4%	No
VPS28		5	5	3558	0.1%	No
POTEB2		1	1	186	0.5%	No
EGFL7		16	16	5403	0.3%	Yes
C3ORF18		5	5	3372	0.1%	No
DCTN4		19	19	3825	0.5%	No
DBR1		13	13	3124	0.4%	No
AADAT		4	4	2069	0.2%	No
MYO15A		46	46	4176	1.1%	No
CYB5R4		18	18	3609	0.5%	No
SERPINB11		14	14	3383	0.4%	No
MAN2B1		23	20	3890	0.5%	No
POU3F4		23	23	4111	0.6%	No
STK3		9	9	3027	0.3%	No
MANBA		21	20	3814	0.5%	No
POU4F1		10	10	3372	0.3%	No
NEK4		10	10	3202	0.3%	No
SERPINB12		14	14	3648	0.4%	No
POU4F2		27	24	3748	0.6%	No
MAOA		14	14	3709	0.4%	No
POU4F3		9	9	3709	0.2%	No
STK4		18	18	4111	0.4%	No
MAOB		12	12	3709	0.3%	No
PPEF2		20	20	3691	0.5%	No
MARK3		10	10	3472	0.3%	No
PPAT		14	14	3372	0.4%	No
CCDC160		4	4	2234	0.2%	No
MARS1		29	26	3146	0.8%	No
MAS1		14	14	3653	0.4%	No
PPBP		4	4	2148	0.2%	No
MAT1A		7	7	3372	0.2%	No
PPEF1		48	48	3955	1.2%	No
MAT2A		11	11	3288	0.3%	No
MATK		14	14	4011	0.3%	No
CTSA		25	24	3825	0.6%	No
MATN1		7	7	3609	0.2%	No
HSD17B14		3	3	362	0.8%	No
HSD17B11		4	4	3051	0.1%	No
NAGPA		10	10	3102	0.3%	No
TUBE1		15	15	3795	0.4%	No
TUBD1		26	26	4214	0.6%	No
PLEKHO1		4	4	502	0.8%	No
LEF1		4	4	1705	0.2%	Yes
HAO2		9	9	3756	0.2%	No
PPARD		12	12	3367	0.4%	No
SULT1A2		9	9	3653	0.2%	No
MAPT		16	16	3825	0.4%	No
PPARG		22	22	5215	0.4%	Yes
UMODL1		36	31	3893	0.8%	No
MED1		44	43	3611	1.2%	No
RSPH1		13	13	3795	0.3%	No
MARK1		45	45	4127	1.1%	No
OR13H1		4	4	2865	0.1%	No
MAZ		16	16	3588	0.4%	No
PPID		10	10	3609	0.3%	No
GAL3ST3		4	4	2283	0.2%	No
MB		2	2	2048	<0.1%	No
PYGO2		5	5	3102	0.2%	No
MBD1		25	25	3890	0.6%	No
SIGLEC10		23	23	4028	0.6%	No
MBL2		14	13	6197	0.2%	No
MBNL1		9	9	3081	0.3%	No
WDR53		8	8	3607	0.2%	No
MBP		8	8	2968	0.3%	No
MC1R		1	1	216	0.5%	No
HSPA14		32	32	3869	0.8%	No
PPIC		3	3	1282	0.2%	No
DCXR		1	1	216	0.5%	No
GPN3		1	1	216	0.5%	No
TCEAL9		4	4	2965	0.1%	No
CRBN		6	6	2865	0.2%	Yes
RSL24D1		1	1	237	0.4%	No
MATN2		34	34	4190	0.8%	No
PPIB		8	7	2771	0.3%	No
MATN3		2	2	1282	0.2%	No
MAX		24	24	6744	0.4%	Yes
NAV2		54	53	4236	1.3%	No
NAV1		52	52	4011	1.3%	No
NAV3		75	70	4111	1.7%	No
HPS4		21	21	3656	0.6%	No
MC5R		3	3	419	0.7%	No
SOWAHD		7	7	526	1.3%	No
MCAM		13	13	3609	0.4%	No
PPL		40	38	4110	0.9%	No
WNT3A		6	6	3372	0.2%	No
MCC		30	28	4114	0.7%	No
PPM1A		7	7	3028	0.2%	No
PPM1B		15	15	3372	0.4%	No
PPM1G		7	5	3081	0.2%	No
CHST6		5	4	2118	0.2%	No
PPOX		19	19	3825	0.5%	No
MCF2		18	16	3707	0.4%	No
PPP1CA		2	2	237	0.8%	No
HERC5		25	25	3874	0.6%	No
ZNF639		8	8	3537	0.2%	No
MC4R		8	8	3588	0.2%	No
CKLF		8	8	3372	0.2%	No
RAPGEFL1		2	2	1282	0.2%	No
IPO11		13	13	3825	0.3%	No
PLCE1		64	62	4028	1.5%	No
NIN		65	58	4144	1.4%	Yes
CDKN2A-DT		2	2	237	0.8%	No
MC2R		9	9	3774	0.2%	No
MC3R		12	12	3372	0.4%	No
ANKRD13A		5	5	3081	0.2%	No
LMLN		8	8	2501	0.3%	No
MCM3		13	9	3102	0.3%	No
MCM4		22	21	3774	0.6%	No
MCM5		13	13	3318	0.4%	No
MCM6		26	26	3739	0.7%	No
MCM7		34	33	4127	0.8%	No
CD46		13	13	3688	0.4%	No
TRAJ21		1	1	1066	<0.1%	No
ANTXR2		11	11	3388	0.3%	No
TRIM71		17	17	3890	0.4%	No
BORCS5		1	1	507	0.2%	No
OLFM3		6	6	3181	0.2%	No
GOLGA8UP		1	1	186	0.5%	No
MCL1		17	17	6479	0.3%	Yes
FAM131A		5	5	3102	0.2%	No
MCM2		12	12	4011	0.3%	No
MUCL1		2	2	337	0.6%	No
TRAJ25		1	1	1066	<0.1%	No
OR4X2		19	19	3795	0.5%	No
OR4B1		12	10	2865	0.3%	No
RAD9B		7	7	2099	0.3%	No
MICU3		23	21	3674	0.6%	No
SMCP		8	8	3588	0.2%	No
ADAM11		21	21	3925	0.5%	No
MDFI		1	1	1066	<0.1%	No
DNAJB9		7	7	2367	0.3%	No
OR4C46		15	15	3102	0.5%	No
LRCOL1		1	1	216	0.5%	No
UBE2J2		8	8	3372	0.2%	No
TRAJ14		1	1	186	0.5%	No
MDM4		31	31	6746	0.5%	Yes
MAGEB5		1	1	186	0.5%	No
ME1		4	4	1568	0.3%	No
TRAJ43		1	1	1066	<0.1%	No
TRAJ42		1	1	1066	<0.1%	No
MDH1		6	5	2865	0.2%	No
MDH2		10	10	3129	0.3%	No
CCDC166		1	1	237	0.4%	No
TRAJ38		1	1	1066	<0.1%	No
MDK		2	2	1003	0.2%	No
MDM2		33	29	7253	0.4%	Yes
CIB4		3	3	2264	0.1%	No
TRAJ33		1	1	1066	<0.1%	No
TRAJ30		1	1	1066	<0.1%	No
C1ORF68		4	4	1442	0.3%	No
ARSH		12	12	3939	0.3%	No
TDRD15		3	3	186	1.6%	No
XKR6		12	12	2968	0.4%	No
TADA1		7	7	3318	0.2%	No
THEM4		1	1	1066	<0.1%	No
CATSPER1		13	13	3985	0.3%	No
OR52W1		4	4	2099	0.2%	No
RAB41		5	5	2337	0.2%	No
DGAT2L6		9	9	3432	0.3%	No
PRAP1		2	2	1282	0.2%	No
ZNF511		7	7	3372	0.2%	No
NSMCE2		9	9	3609	0.2%	No
ANKRD18DP		2	2	1883	0.1%	No
AKTIP		7	7	3372	0.2%	No
CDH24		31	31	3669	0.8%	No
CDH22		12	12	3588	0.3%	No
RGS18		2	2	423	0.5%	No
GALNT17		29	29	3925	0.7%	No
OR2D3		10	10	2493	0.4%	No
OR2D2		9	9	2436	0.4%	No
C10ORF71		38	37	4071	0.9%	No
GMNC		4	4	2264	0.2%	No
KLHL25		10	10	3774	0.3%	No
GZF1		18	18	3391	0.5%	No
ARAP3		39	39	4171	0.9%	No
TMEM168		7	7	2787	0.3%	No
TMEM267		10	8	3688	0.2%	No
MTMR14		21	21	3988	0.5%	No
SH3GLB1		6	6	3102	0.2%	No
ZC2HC1A		13	13	3102	0.4%	No
ABHD17B		3	3	462	0.6%	No
NDUFAF1		16	15	3648	0.4%	No
TPRXL		5	5	1999	0.3%	No
TFB1M		8	8	2771	0.3%	No
PHF20L1		31	30	3941	0.8%	No
METTL9		8	8	3825	0.2%	No
APH1A		8	8	3181	0.3%	Yes
ZNF707		12	12	3486	0.3%	No
RDH11		11	11	3588	0.3%	No
FAM83H		13	13	4011	0.3%	No
DCLRE1C		27	27	3877	0.7%	No
SUSD1		8	8	3102	0.3%	No
INF2		22	22	3607	0.6%	No
FAM241A		2	2	2048	<0.1%	No
ATG3		10	9	3609	0.2%	No
POLR1E		3	3	2120	0.1%	No
TTC31		12	11	3497	0.3%	No
TMPRSS11B		8	8	3674	0.2%	No
SUDS3		11	11	3418	0.3%	No
ZDHHC6		11	11	3372	0.3%	No
CIAO3		8	8	3712	0.2%	No
GPR62		2	2	402	0.5%	No
OR52K2		13	13	2490	0.5%	No
OR52M1		7	7	2450	0.3%	No
KMT5B		38	37	3890	1.0%	No
LACTB2		8	8	2865	0.3%	No
TRAPPC12		13	13	3691	0.4%	No
RMDN1		9	9	3825	0.2%	No
ZDHHC9		12	12	3046	0.4%	No
COQ4		11	11	2981	0.4%	No
MRPS2		10	10	3504	0.3%	No
SBDS		8	8	3588	0.2%	Yes
UTP11		6	6	2264	0.3%	No
PSMA8		4	4	2148	0.2%	No
NAT9		15	15	3372	0.4%	No
RIBC2		1	1	1066	<0.1%	No
KIF26A		24	24	4020	0.6%	No
ZNF337		17	17	3990	0.4%	No
NOC2L		10	9	3378	0.3%	No
ABCA12		63	62	4111	1.5%	No
GIMAP2		8	8	3588	0.2%	No
CFAP100		15	15	3939	0.4%	No
RSL1D1		17	17	3588	0.5%	No
LNP1		5	5	2606	0.2%	No
CLHC1		10	10	3928	0.3%	No
MTG2		16	16	4011	0.4%	No
SSX2IP		16	14	3928	0.4%	No
RAB3IP		7	7	3081	0.2%	No
RGS22		42	38	3899	1.0%	No
SPATA31A7		3	3	2148	0.1%	No
SENP3		4	4	2865	0.1%	No
PCDHB5		24	24	3588	0.7%	No
IFT172		31	26	3691	0.7%	No
GFY		5	5	462	1.1%	No
ZBTB20		21	19	3825	0.5%	Yes
TES		11	10	3102	0.3%	No
IGLV3-16		2	2	1799	0.1%	No
IGLV3-25		2	2	1799	0.1%	No
GAPVD1		36	35	4011	0.9%	No
WFIKKN1		11	11	3925	0.3%	No
TRPC4AP		24	23	3475	0.7%	No
IGLV3-21		2	2	1573	0.1%	No
IGLV3-19		4	4	2865	0.1%	No
SERBP1		6	6	2865	0.2%	No
MSS51		11	10	3537	0.3%	No
HDGFL1		1	1	216	0.5%	No
CFAP70		32	32	3739	0.9%	No
ANKRD54		8	8	3318	0.2%	No
PHF19		10	10	3532	0.3%	No
ZNF658		39	35	3774	0.9%	No
TTLL3		28	28	3704	0.8%	No
DACH2		28	28	3950	0.7%	No
CHCHD1		6	6	3588	0.2%	No
OR56A1		10	9	3372	0.3%	No
SCGB3A2		2	2	2048	<0.1%	No
CATSPER2		19	19	3890	0.5%	No
OR52B4		3	3	1986	0.2%	No
SH2D1B		2	1	1066	<0.1%	No
TRAF3IP1		13	13	3674	0.4%	No
OR56A4		10	10	2490	0.4%	No
IRF2BP1		10	10	3774	0.3%	No
DCD		4	4	2069	0.2%	No
MBOAT1		8	8	2957	0.3%	No
TANC2		49	49	4011	1.2%	No
PCLO		159	139	4412	3.2%	Yes
LDLRAP1		20	20	5477	0.4%	No
WSB1		13	12	3609	0.3%	No
IGLV11-55		3	3	2865	0.1%	No
HDHD5		9	9	3825	0.2%	No
CECR2		39	35	4176	0.8%	No
IGLV8-61		3	3	2865	0.1%	No
SYT9		14	14	2843	0.5%	No
CCDC69		14	14	3372	0.4%	No
REG3G		8	8	3558	0.2%	No
CD200R1		12	12	3051	0.4%	No
KIFBP		18	18	3928	0.5%	No
IGLV3-32		5	3	2865	0.1%	No
FGFR1OP2		4	4	2151	0.2%	No
GNPDA2		7	7	3102	0.2%	No
IGLV5-45		8	8	2865	0.3%	No
CEP112		23	18	3418	0.5%	No
IGLV5-48		5	5	2865	0.2%	No
EPC2		21	17	3941	0.4%	No
IGLV4-60		4	4	2865	0.1%	No
PRPF31		11	11	3305	0.3%	No
IGLV4-3		2	2	1799	0.1%	No
TCTN3		7	7	2930	0.2%	No
IGLV4-69		1	1	186	0.5%	No
RFTN2		18	17	4011	0.4%	No
RBM33		33	30	3898	0.8%	No
TRAC		1	1	100	1.0%	No
HTRA2		3	3	556	0.5%	No
LIX1		5	5	3051	0.2%	No
TRAJ2		1	1	1066	<0.1%	No
DHRS7C		14	13	3928	0.3%	No
EML4		36	35	3925	0.9%	Yes
LRIT1		13	13	3898	0.3%	No
POLM		10	10	2865	0.3%	No
PYGO1		9	9	3318	0.3%	No
TMEM121B		3	3	1405	0.2%	No
WIPI2		8	8	3795	0.2%	No
TOR2A		2	2	1219	0.2%	No
LDLRAD3		8	8	3825	0.2%	No
MAT2B		6	6	2555	0.2%	No
MRGPRX2		10	10	3421	0.3%	No
MRGPRX4		16	16	3184	0.5%	No
MRGPRX3		12	12	3472	0.3%	No
TVP23C		9	9	3372	0.3%	No
PLD6		7	7	3102	0.2%	No
CENPV		1	1	186	0.5%	No
FLCN		22	22	6981	0.3%	Yes
SLC2A12		14	13	2552	0.5%	No
ZNF729		23	23	2709	0.8%	No
ARHGAP27		6	6	2555	0.2%	No
OR2B3		5	5	2627	0.2%	No
OR2J1		4	4	817	0.5%	No
OR2J3		7	7	1605	0.4%	No
STX3		15	15	4011	0.4%	No
STRN		16	16	3795	0.4%	Yes
ZNF385C		8	7	3558	0.2%	No
STX1A		9	9	2865	0.3%	No
PAXIP1-AS2		1	1	237	0.4%	No
SULT1A1		7	6	2865	0.2%	No
SULT1C2		6	6	2968	0.2%	No
STX4		15	13	3246	0.4%	No
STXBP1		18	17	3825	0.4%	No
SAMD14		22	22	3418	0.6%	No
STX5		6	6	1805	0.3%	No
STXBP3		17	17	3249	0.5%	No
STXBP2		21	21	3618	0.6%	No
STYX		8	8	3609	0.2%	No
OR9A4		4	4	1986	0.2%	No
SUPT6H		66	63	4171	1.5%	No
SUPT5H		47	44	3950	1.1%	No
NIM1K		11	10	3432	0.3%	No
GALNTL6		19	19	3648	0.5%	No
SUOX		23	23	3609	0.6%	No
SULT2B1		10	10	3305	0.3%	No
IGLL5		10	10	3102	0.3%	No
SULT2A1		6	6	1983	0.3%	No
VPS37D		1	1	216	0.5%	No
METTL27		14	14	3925	0.4%	No
PPP1R7		10	10	3825	0.3%	No
SVIL		64	61	4114	1.5%	No
CHST13		4	4	1489	0.3%	No
SUV39H1		10	10	3267	0.3%	No
PPP1R3D		6	6	2129	0.3%	No
PPP1CB		8	8	3267	0.2%	Yes
SUPV3L1		9	7	3030	0.2%	No
PPP1CC		4	4	1519	0.3%	No
PPP1R1A		15	14	3372	0.4%	No
SURF1		5	5	2865	0.2%	No
ABCC8		55	50	3988	1.3%	No
SURF4		3	3	2865	0.1%	No
PPP1R2		2	2	1282	0.2%	No
SURF2		5	5	2965	0.2%	No
PPP1R3A		51	41	4214	1.0%	No
SURF6		12	12	3609	0.3%	No
PPP1R3C		10	10	3184	0.3%	No
MED22		12	12	3146	0.4%	No
CNKSR3		11	11	3108	0.4%	No
SYK		40	40	6804	0.6%	Yes
PPP2R2A		21	21	5663	0.4%	Yes
PPP2R2B		9	9	3318	0.3%	No
PPP2R1B		4	4	2501	0.2%	No
EHF		7	7	3825	0.2%	No
SERGEF		6	6	1986	0.3%	No
PPP1R8		9	9	3437	0.3%	No
VAMP1		4	4	3372	0.1%	No
VAMP7		8	8	3609	0.2%	No
PPP1R10		17	17	3958	0.4%	No
VAMP2		4	4	3051	0.1%	No
GALNT8		39	39	3723	1.0%	No
PPP2CA		12	12	3588	0.3%	No
SYCP1		27	27	3795	0.7%	No
PPP2CB		16	16	5881	0.3%	No
XCL2		1	1	1066	<0.1%	No
SAMD3		26	26	4050	0.6%	No
PPP2R1A		40	38	7041	0.5%	Yes
FGF21		6	6	3618	0.2%	No
SYT5		14	14	3588	0.4%	No
PPP3CA		22	22	3825	0.6%	No
SYT4		12	12	3588	0.3%	No
ME2		10	10	3437	0.3%	No
PPP4C		4	4	3372	0.1%	No
TAC1		1	1	186	0.5%	No
MEA1		12	12	3081	0.4%	No
PPP3CB		20	18	3677	0.5%	No
TBXT		9	9	3609	0.2%	No
PPP2R2C		3	3	2264	0.1%	No
PPP2R3A		23	23	3774	0.6%	No
SYN1		22	22	3609	0.6%	No
PTPA		23	18	3826	0.5%	No
SYPL1		6	6	2385	0.3%	No
PPP2R5A		10	10	3270	0.3%	No
SYP		13	12	3609	0.3%	No
PPP2R5B		17	17	3609	0.5%	No
PPP2R5C		19	19	3885	0.5%	No
SYT1		10	10	3504	0.3%	No
PPP2R5D		24	23	4111	0.6%	No
RAET1L		2	2	237	0.8%	No
PPP2R5E		9	9	3475	0.3%	No
LINC02904		16	16	3609	0.4%	No
TACR3		10	10	3370	0.3%	No
NPY4R		19	19	3688	0.5%	No
TAF1		128	125	6848	1.8%	Yes
MEFV		44	39	4093	1.0%	No
TADA2A		8	8	2655	0.3%	No
MEIS1		12	12	3825	0.3%	No
PRB1		10	10	3372	0.3%	No
TAF4		21	20	3504	0.6%	No
TAF2		21	17	3669	0.5%	No
ZFP41		13	12	3885	0.3%	No
MEIS2		19	18	2857	0.6%	No
COX16		3	3	1042	0.3%	No
SIGLEC12		17	17	3877	0.4%	No
KLHL6		14	14	3691	0.4%	Yes
CCDC174		6	6	2865	0.2%	No
TACR2		15	15	3588	0.4%	No
PPP3CC		4	4	1455	0.3%	No
PAIP2		1	1	186	0.5%	No
PPP3R1		6	6	3081	0.2%	No
SHISA5		3	3	2048	0.1%	No
MECP2		20	20	3993	0.5%	No
TACC1		17	15	3661	0.4%	No
TMEM69		3	3	2015	0.1%	No
MVB12B		2	2	2048	<0.1%	No
CCDC189		15	15	3575	0.4%	No
PPP3R2		5	5	1450	0.3%	No
MEF2A		32	32	3804	0.8%	No
PPP5C		15	15	3434	0.4%	No
PDZD11		1	1	216	0.5%	No
PPP6C		13	13	5178	0.3%	Yes
TACR1		8	8	3081	0.3%	No
PPT1		3	3	2234	0.1%	No
ADAM17		13	12	2496	0.5%	No
MEF2C		16	16	3588	0.4%	Yes
PPY		6	6	3081	0.2%	No
MEF2D		8	8	2865	0.3%	Yes
IGKV5-2		4	4	2865	0.1%	No
SCARA5		12	12	3081	0.4%	No
TAF9		5	5	2865	0.2%	No
IGKV6-21		3	3	2865	0.1%	No
PREP		22	21	2687	0.8%	No
PRF1		17	17	3807	0.4%	Yes
TAF12		2	2	1066	0.2%	No
MEN1		135	129	10018	1.3%	Yes
SRGN		5	5	3558	0.1%	No
TAF11		3	3	216	1.4%	No
MEOX1		6	6	3372	0.2%	No
PRG2		7	7	3372	0.2%	No
MAP3K7		13	13	3877	0.3%	Yes
MEOX2		19	19	4111	0.5%	No
PRH1		2	2	1799	0.1%	No
TAF13		3	3	2865	0.1%	No
IGKV1D-17		4	4	2865	0.1%	No
IGKV1D-12		4	4	2865	0.1%	No
IGKV1D-8		3	3	2865	0.1%	No
IGKV1D-16		11	9	2865	0.3%	No
IGKV1D-13		4	4	2865	0.1%	No
MTRES1		2	2	60	3.3%	No
FAM178B		5	5	2115	0.2%	No
NT5C3A		13	13	3378	0.4%	No
ATG16L2		21	21	3688	0.6%	No
FCHSD1		22	19	3618	0.5%	No
FGD3		24	23	3847	0.6%	No
TBC1D7		6	6	1584	0.4%	No
ABCC10		41	40	3348	1.2%	No
PRB3		15	15	3472	0.4%	No
TAGLN		4	4	2865	0.1%	No
MRPL51		6	6	3372	0.2%	No
MAP3K1		1203	847	10330	8.2%	Yes
PRB4		10	10	3709	0.3%	No
TAF4B		42	42	6118	0.7%	No
MARCHF2		3	3	1573	0.2%	No
PRCC		19	19	3046	0.6%	Yes
MAP3K3		12	12	3288	0.4%	No
TAF6		15	14	3890	0.4%	No
MAP3K4		56	54	3925	1.4%	No
PRCP		9	9	3609	0.2%	No
TAF5		23	21	3206	0.7%	No
TMEM216		3	3	2865	0.1%	No
MAP3K5		46	41	4011	1.0%	No
PRMT9		19	19	3688	0.5%	No
TAF7		7	7	3674	0.2%	No
PRELP		14	14	3372	0.4%	No
RAB8A		1	1	216	0.5%	No
ZNF479		23	23	3621	0.6%	No
TAP1		23	22	5043	0.4%	Yes
TRIQK		4	4	3372	0.1%	No
TAPBP		3	3	1033	0.3%	No
TAP2		15	15	2540	0.6%	Yes
PRKAA1		17	16	3941	0.4%	No
TARBP1		47	45	4174	1.1%	No
MEST		7	7	2555	0.3%	No
PRKAA2		17	16	3769	0.4%	No
DPY19L4		19	17	3825	0.4%	No
JPT2		2	2	1883	0.1%	No
MET		76	70	7730	0.9%	Yes
PRKAB1		7	7	3372	0.2%	No
ALDH8A1		21	21	4111	0.5%	No
SPSB3		6	6	3372	0.2%	No
PRKAB2		6	6	3081	0.2%	No
TARBP2		22	22	3588	0.6%	No
METTL1		3	2	1169	0.2%	No
NDST4		5	5	1468	0.3%	No
PBDC1		15	15	3372	0.4%	No
MRPL30		5	5	2493	0.2%	No
CDKL3		15	15	3372	0.4%	No
MRPL27		1	1	237	0.4%	No
CLEC1A		10	10	4011	0.2%	No
CLEC1B		6	6	2213	0.3%	No
TAL2		8	8	456	1.8%	Yes
MEP1A		27	26	3860	0.7%	No
PRH2		5	5	1191	0.4%	No
MEP1B		7	7	2337	0.3%	No
TAL1		3	3	1985	0.2%	Yes
PIPOX		13	13	3669	0.4%	No
CFAP91		23	21	3162	0.7%	No
PRIM1		7	7	3318	0.2%	No
TALDO1		5	4	3051	0.1%	No
PRIM2		6	5	1573	0.3%	No
SLC25A21		3	3	1789	0.2%	No
AQP10		13	13	3588	0.4%	No
FBXO43		10	10	3609	0.3%	No
TRIM15		3	3	423	0.7%	No
GPR135		3	3	1899	0.2%	No
SEPTIN14		18	18	3898	0.5%	No
C2CD4D		5	5	2865	0.2%	No
CLEC7A		6	6	2865	0.2%	No
PKIB		1	1	1066	<0.1%	No
PRKAG1		8	8	3404	0.2%	No
MFGE8		10	10	3688	0.3%	No
MELTF		31	31	3756	0.8%	No
PRKAR1A		22	21	6871	0.3%	Yes
ZNF598		17	17	3609	0.5%	No
PRKAR1B		8	8	3288	0.2%	No
SPOCD1		19	19	4123	0.5%	No
PRKAR2A		10	10	3609	0.3%	No
MGAT1		4	4	723	0.6%	No
TFDP3		17	14	3267	0.4%	No
BET1L		3	3	2555	0.1%	No
UBAP1		19	18	3609	0.5%	No
KLF3		6	6	3372	0.2%	Yes
MANSC4		4	4	3102	0.1%	No
ZNF571		13	13	3588	0.4%	No
PLCZ1		34	27	4011	0.7%	No
IER5		4	4	3081	0.1%	No
DNAJC27		11	11	3704	0.3%	No
PRKACA		15	15	3558	0.4%	Yes
TAT		13	13	3033	0.4%	No
SEC16B		34	33	3669	0.9%	No
MFAP1		18	16	3653	0.4%	No
PRKACB		7	7	3288	0.2%	No
TARS1		28	26	3472	0.7%	No
C1RL		18	18	3367	0.5%	No
TCEAL8		1	1	817	0.1%	No
PRKACG		29	29	5590	0.5%	No
MFAP3		4	4	1506	0.3%	No
PKIA		2	2	1883	0.1%	No
TBX1		3	3	237	1.3%	No
MFAP4		3	3	2865	0.1%	No
PRKCD		21	21	3604	0.6%	No
DYNC2I2		6	6	2501	0.2%	No
KBTBD6		22	20	3370	0.6%	No
PRKCE		47	45	6097	0.7%	No
SCGB2A2		3	3	1282	0.2%	No
PRKCG		17	17	4071	0.4%	No
PRKCH		19	19	4011	0.5%	No
MIA2		34	34	2871	1.2%	No
PRKCI		12	12	3820	0.3%	Yes
KITLG		13	13	3372	0.4%	No
PKN1		17	17	3609	0.5%	No
MGMT		8	8	3372	0.2%	No
PKN2		27	25	3812	0.7%	No
GIGYF1		27	27	3885	0.7%	No
MOSPD3		6	6	2506	0.2%	No
PRKD1		34	33	5228	0.6%	Yes
MGP		1	1	103	1.0%	No
ANKMY1		17	17	3898	0.4%	No
GOLM1		8	8	3288	0.2%	No
BFAR		11	11	3609	0.3%	No
